Date,Open,High,Low,Close,Volume,Adj Close
3/10/11,1949.35,1949.35,1949.35,1949.35,0,1949.35
3/9/11,2012.22,2012.22,2012.22,2012.22,0,2012.22
3/4/11,2012.68,2012.68,2012.68,2012.68,0,2012.68
3/3/11,2017.82,2017.82,2017.82,2017.82,0,2017.82
3/2/11,1991.29,1991.29,1991.29,1991.29,0,1991.29
3/1/11,1962.66,1962.66,1962.66,1962.66,0,1962.66
2/28/11,1969.91,1969.91,1969.91,1969.91,0,1969.91
2/25/11,1932.82,1932.82,1932.82,1932.82,0,1932.82
2/24/11,1901.14,1901.14,1901.14,1901.14,0,1901.14
2/22/11,1874.76,1874.76,1874.76,1874.76,0,1874.76
2/21/11,1889.33,1889.33,1889.33,1889.33,0,1889.33
2/18/11,1868.4,1868.4,1868.4,1868.4,0,1868.4
2/17/11,1871.59,1871.59,1871.59,1871.59,0,1871.59
2/16/11,1877.44,1877.44,1877.44,1877.44,0,1877.44
2/15/11,1865.99,1865.99,1865.99,1865.99,0,1865.99
2/14/11,1879.56,1879.56,1879.56,1879.56,0,1879.56
2/11/11,1881.9,1881.9,1881.9,1881.9,0,1881.9
2/10/11,1846.92,1846.92,1846.92,1846.92,0,1846.92
2/9/11,1900.28,1900.28,1900.28,1900.28,0,1900.28
2/8/11,1910.5,1910.5,1910.5,1910.5,0,1910.5
2/7/11,1935.15,1935.15,1935.15,1935.15,0,1935.15
2/4/11,1928.58,1928.58,1928.58,1928.58,0,1928.58
2/3/11,1917.07,1917.07,1917.07,1917.07,0,1917.07
2/2/11,1931.38,1931.38,1931.38,1931.38,0,1931.38
2/1/11,1910.01,1910.01,1910.01,1910.01,0,1910.01
1/31/11,1870.31,1870.31,1870.31,1870.31,0,1870.31
1/28/11,1885.53,1885.53,1885.53,1885.53,0,1885.53
1/27/11,1911.48,1911.48,1911.48,1911.48,0,1911.48
1/26/11,1894.92,1894.92,1894.92,1894.92,0,1894.92
1/25/11,1863.33,1863.33,1863.33,1863.33,0,1863.33
1/24/11,1861.66,1861.66,1861.66,1861.66,0,1861.66
1/21/11,1884.76,1884.76,1884.76,1884.76,0,1884.76
1/20/11,1868.46,1868.46,1868.46,1868.46,0,1868.46
1/19/11,1902.75,1902.75,1902.75,1902.75,0,1902.75
1/18/11,1900.94,1900.94,1900.94,1900.94,0,1900.94
1/17/11,1901.61,1901.61,1901.61,1901.61,0,1901.61
1/14/11,1870.09,1870.09,1870.09,1870.09,0,1870.09
1/13/11,1878.14,1878.14,1878.14,1878.14,0,1878.14
1/12/11,1868.94,1868.94,1868.94,1868.94,0,1868.94
1/11/11,1802.23,1802.23,1802.23,1802.23,0,1802.23
12/31/10,1770.28,1770.28,1770.28,1770.28,0,1770.28
12/30/10,1770.28,1770.28,1770.28,1770.28,0,1770.28
12/29/10,1767.82,1767.82,1767.82,1767.82,0,1767.82
12/28/10,1769.41,1769.41,1769.41,1769.41,0,1769.41
12/27/10,1764.39,1764.39,1764.39,1764.39,0,1764.39
12/24/10,1769.57,1769.57,1769.57,1769.57,0,1769.57
12/23/10,1765.51,1765.51,1765.51,1765.51,0,1765.51
12/22/10,1764.04,1764.04,1764.04,1764.04,0,1764.04
12/21/10,1755.79,1755.79,1755.79,1755.79,0,1755.79
12/20/10,1739.67,1739.67,1739.67,1739.67,0,1739.67
12/17/10,1743.87,1743.87,1743.87,1743.87,0,1743.87
12/16/10,1744.28,1744.28,1744.28,1744.28,0,1744.28
12/15/10,1757.71,1757.71,1757.71,1757.71,0,1757.71
12/14/10,1745.8,1745.8,1745.8,1745.8,0,1745.8
12/13/10,1735.5,1735.5,1735.5,1735.5,0,1735.5
12/10/10,1712.93,1712.93,1712.93,1712.93,0,1712.93
12/9/10,1711.56,1711.56,1711.56,1711.56,0,1711.56
12/8/10,1694.3,1694.3,1694.3,1694.3,0,1694.3
12/7/10,1721.91,1721.91,1721.91,1721.91,0,1721.91
12/6/10,1711.44,1711.44,1711.44,1711.44,0,1711.44
12/3/10,1687.36,1687.36,1687.36,1687.36,0,1687.36
12/2/10,1665.72,1665.72,1665.72,1665.72,0,1665.72
12/1/10,1633.71,1633.71,1633.71,1633.71,0,1633.71
11/30/10,1597.35,1597.35,1597.35,1597.35,0,1597.35
11/29/10,1589.31,1589.31,1589.31,1589.31,0,1589.31
11/26/10,1602.48,1602.48,1602.48,1602.48,0,1602.48
11/25/10,1618.55,1618.55,1618.55,1618.55,0,1618.55
11/24/10,1600.5,1600.5,1600.5,1600.5,0,1600.5
11/23/10,1573.46,1573.46,1573.46,1573.46,0,1573.46
11/22/10,1600.3,1600.3,1600.3,1600.3,0,1600.3
11/19/10,1600.98,1600.98,1600.98,1600.98,0,1600.98
11/18/10,1598.63,1598.63,1598.63,1598.63,0,1598.63
11/17/10,1570.66,1570.66,1570.66,1570.66,0,1570.66
11/16/10,1568.13,1568.13,1568.13,1568.13,0,1568.13
11/15/10,1609.43,1609.43,1609.43,1609.43,0,1609.43
11/12/10,1610.97,1610.97,1610.97,1610.97,0,1610.97
11/11/10,1629.37,1629.37,1629.37,1629.37,0,1629.37
11/10/10,1637.02,1637.02,1637.02,1637.02,0,1637.02
11/9/10,1659.45,1659.45,1659.45,1659.45,0,1659.45
11/8/10,1628.42,1628.42,1628.42,1628.42,0,1628.42
11/4/10,1613.6,1613.6,1613.6,1613.6,0,1613.6
11/3/10,1602.53,1602.53,1602.53,1602.53,0,1602.53
11/2/10,1604.14,1604.14,1604.14,1604.14,0,1604.14
11/1/10,1600.36,1600.36,1600.36,1600.36,0,1600.36
10/29/10,1587.14,1587.14,1587.14,1587.14,0,1587.14
10/28/10,1583.44,1583.44,1583.44,1583.44,0,1583.44
10/27/10,1583.17,1583.17,1583.17,1583.17,0,1583.17
10/26/10,1609.79,1609.79,1609.79,1609.79,0,1609.79
10/25/10,1620.49,1620.49,1620.49,1620.49,0,1620.49
10/22/10,1608.71,1608.71,1608.71,1608.71,0,1608.71
10/21/10,1604.86,1604.86,1604.86,1604.86,0,1604.86
10/20/10,1556.74,1556.74,1556.74,1556.74,0,1556.74
10/19/10,1570.59,1570.59,1570.59,1570.59,0,1570.59
10/18/10,1583.04,1583.04,1583.04,1583.04,0,1583.04
10/15/10,1581.9,1581.9,1581.9,1581.9,0,1581.9
10/14/10,1586.94,1586.94,1586.94,1586.94,0,1586.94
10/13/10,1588.83,1588.83,1588.83,1588.83,0,1588.83
10/12/10,1574.2,1574.2,1574.2,1574.2,0,1574.2
10/11/10,1588.29,1588.29,1588.29,1588.29,0,1588.29
10/8/10,1566.85,1566.85,1566.85,1566.85,0,1566.85
10/7/10,1584.29,1584.29,1584.29,1584.29,0,1584.29
10/6/10,1578.35,1578.35,1578.35,1578.35,0,1578.35
10/5/10,1568.86,1568.86,1568.86,1568.86,0,1568.86
10/4/10,1542.58,1542.58,1542.58,1542.58,0,1542.58
10/1/10,1531.91,1531.91,1531.91,1531.91,0,1531.91
9/30/10,1507.66,1507.66,1507.66,1507.66,0,1507.66
9/29/10,1494.93,1494.93,1494.93,1494.93,0,1494.93
9/28/10,1483.68,1483.68,1483.68,1483.68,0,1483.68
9/27/10,1487.86,1487.86,1487.86,1487.86,0,1487.86
9/24/10,1488.67,1488.67,1488.67,1488.67,0,1488.67
9/23/10,1477.13,1477.13,1477.13,1477.13,0,1477.13
9/22/10,1477.01,1477.01,1477.01,1477.01,0,1477.01
9/21/10,1478.21,1478.21,1478.21,1478.21,0,1478.21
9/20/10,1467.11,1467.11,1467.11,1467.11,0,1467.11
9/17/10,1464.18,1464.18,1464.18,1464.18,0,1464.18
9/16/10,1463.88,1463.88,1463.88,1463.88,0,1463.88
9/15/10,1484.5,1484.5,1484.5,1484.5,0,1484.5
9/14/10,1493.21,1493.21,1493.21,1493.21,0,1493.21
9/13/10,1503.22,1503.22,1503.22,1503.22,0,1503.22
9/10/10,1487.09,1487.09,1487.09,1487.09,0,1487.09
9/9/10,1492,1492,1492,1492,0,1492
9/8/10,1468.11,1468.11,1468.11,1468.11,0,1468.11
9/7/10,1453.47,1453.47,1453.47,1453.47,0,1453.47
9/6/10,1469.75,1469.75,1469.75,1469.75,0,1469.75
9/3/10,1467.62,1467.62,1467.62,1467.62,0,1467.62
9/2/10,1455.64,1455.64,1455.64,1455.64,0,1455.64
9/1/10,1449.99,1449.99,1449.99,1449.99,0,1449.99
8/31/10,1421.21,1421.21,1421.21,1421.21,0,1421.21
8/30/10,1427.11,1427.11,1427.11,1427.11,0,1427.11
8/27/10,1421.47,1421.47,1421.47,1421.47,0,1421.47
8/26/10,1409.51,1409.51,1409.51,1409.51,0,1409.51
8/25/10,1385.81,1385.81,1385.81,1385.81,0,1385.81
8/24/10,1396.86,1396.86,1396.86,1396.86,0,1396.86
8/23/10,1425.91,1425.91,1425.91,1425.91,0,1425.91
8/20/10,1425.03,1425.03,1425.03,1425.03,0,1425.03
8/19/10,1445.72,1445.72,1445.72,1445.72,0,1445.72
8/18/10,1458.36,1458.36,1458.36,1458.36,0,1458.36
8/17/10,1464.49,1464.49,1464.49,1464.49,0,1464.49
8/16/10,1445.94,1445.94,1445.94,1445.94,0,1445.94
8/13/10,1445.37,1445.37,1445.37,1445.37,0,1445.37
8/12/10,1447.68,1447.68,1447.68,1447.68,0,1447.68
8/11/10,1460.67,1460.67,1460.67,1460.67,0,1460.67
8/10/10,1492.9,1492.9,1492.9,1492.9,0,1492.9
8/9/10,1520.56,1520.56,1520.56,1520.56,0,1520.56
8/6/10,1509.85,1509.85,1509.85,1509.85,0,1509.85
8/5/10,1517.87,1517.87,1517.87,1517.87,0,1517.87
8/4/10,1523.8,1523.8,1523.8,1523.8,0,1523.8
8/3/10,1517.65,1517.65,1517.65,1517.65,0,1517.65
8/2/10,1523.16,1523.16,1523.16,1523.16,0,1523.16
7/30/10,1479.73,1479.73,1479.73,1479.73,0,1479.73
7/29/10,1503.68,1503.68,1503.68,1503.68,0,1503.68
7/28/10,1474.96,1474.96,1474.96,1474.96,0,1474.96
7/27/10,1481.32,1481.32,1481.32,1481.32,0,1481.32
7/26/10,1467.68,1467.68,1467.68,1467.68,0,1467.68
7/23/10,1449.19,1449.19,1449.19,1449.19,0,1449.19
7/22/10,1442.91,1442.91,1442.91,1442.91,0,1442.91
7/21/10,1417.49,1417.49,1417.49,1417.49,0,1417.49
7/20/10,1388.43,1388.43,1388.43,1388.43,0,1388.43
7/19/10,1394.92,1394.92,1394.92,1394.92,0,1394.92
7/16/10,1389.92,1389.92,1389.92,1389.92,0,1389.92
7/15/10,1403.33,1403.33,1403.33,1403.33,0,1403.33
7/14/10,1412.14,1412.14,1412.14,1412.14,0,1412.14
7/13/10,1409.61,1409.61,1409.61,1409.61,0,1409.61
7/12/10,1386.42,1386.42,1386.42,1386.42,0,1386.42
7/9/10,1359.45,1359.45,1359.45,1359.45,0,1359.45
7/8/10,1356.09,1356.09,1356.09,1356.09,0,1356.09
7/7/10,1352.71,1352.71,1352.71,1352.71,0,1352.71
7/6/10,1353.66,1353.66,1353.66,1353.66,0,1353.66
7/5/10,1318,1318,1318,1318,0,1318
7/2/10,1316.65,1316.65,1316.65,1316.65,0,1316.65
7/1/10,1288.72,1288.72,1288.72,1288.72,0,1288.72
6/30/10,1339.35,1339.35,1339.35,1339.35,0,1339.35
6/29/10,1356.05,1356.05,1356.05,1356.05,0,1356.05
6/28/10,1403.42,1403.42,1403.42,1403.42,0,1403.42
6/25/10,1387.66,1387.66,1387.66,1387.66,0,1387.66
6/24/10,1402.97,1402.97,1402.97,1402.97,0,1402.97
6/23/10,1418.42,1418.42,1418.42,1418.42,0,1418.42
6/22/10,1434.93,1434.93,1434.93,1434.93,0,1434.93
6/21/10,1457.95,1457.95,1457.95,1457.95,0,1457.95
6/18/10,1409.43,1409.43,1409.43,1409.43,0,1409.43
6/17/10,1400.66,1400.66,1400.66,1400.66,0,1400.66
6/16/10,1401.63,1401.63,1401.63,1401.63,0,1401.63
6/15/10,1396.57,1396.57,1396.57,1396.57,0,1396.57
6/14/10,1357.08,1357.08,1357.08,1357.08,0,1357.08
6/11/10,1356.79,1356.79,1356.79,1356.79,0,1356.79
6/10/10,1358.94,1358.94,1358.94,1358.94,0,1358.94
6/9/10,1334.55,1334.55,1334.55,1334.55,0,1334.55
6/8/10,1315.61,1315.61,1315.61,1315.61,0,1315.61
6/7/10,1340.82,1340.82,1340.82,1340.82,0,1340.82
6/4/10,1360.74,1360.74,1360.74,1360.74,0,1360.74
6/3/10,1393.12,1393.12,1393.12,1393.12,0,1393.12
6/2/10,1383.87,1383.87,1383.87,1383.87,0,1383.87
6/1/10,1373.87,1373.87,1373.87,1373.87,0,1373.87
5/31/10,1384.59,1384.59,1384.59,1384.59,0,1384.59
5/28/10,1366.9,1366.9,1366.9,1366.9,0,1366.9
5/27/10,1358.6,1358.6,1358.6,1358.6,0,1358.6
5/26/10,1305.25,1305.25,1305.25,1305.25,0,1305.25
5/25/10,1226.57,1226.57,1226.57,1226.57,0,1226.57
5/24/10,1311.7,1311.7,1311.7,1311.7,0,1311.7
5/21/10,1297.91,1297.91,1297.91,1297.91,0,1297.91
5/20/10,1303.24,1303.24,1303.24,1303.24,0,1303.24
5/19/10,1379.88,1379.88,1379.88,1379.88,0,1379.88
